CCUG Number	Strain	Source	Depositor	Deposit Date
45454T	Arenibacter latericius	Sandy sediments, holothurian, brown alga	O.I.Nedashkovskaya, KMM, Vladivostok, Russia	2001-06-28
45438T	Allofustis seminis	Porcine semen, environmental contaminant ?	M.D.Collins, Univ. of Reading, Reading, UK	2001-06-20
45425T	Arcanobacterium bovis	Bovine mastitis	G.Foster, SAC, Inverness, Scotland, UK	2001-06-19
45418T	Corynebacterium tuberculostearicum	Human bone marrow, leprosy patient	J.Tang, ATCC, Manassas, USA	2001-06-18
45419T	Streptococcus didelphis	Opposum, Didelphis virginiana	J.Tang, ATCC, Manassas, USA	2001-06-18
45422T	Mannheimia granulomatis	Cattle subcutaneous granuloma	J.Tang, ATCC, Manassas, USA	2001-06-18
45377T	Aeromonas hydrophila subsp. dhakensis	Human feces, child with diarrhea	C.Vereecke & D.Janssens, LMG, Gent, Belgium	2001-06-07
45363T	Clostridium scindens	Human feces	Y.Benno, JCM, RIKEN, Wako, Saitama, Japan	2001-06-05
45364T	Rhodoferax fermentans	Sewage ditch	Y.Benno, JCM, RIKEN, Wako, Saitama, Japan	2001-06-05
45365T	Brachymonas denitrificans	Sludge, soybean curd waste	Y.Benno, JCM, RIKEN, Wako, Saitama, Japan	2001-06-05
45366 #T	Dellaglioa algida		Y.Benno, JCM, RIKEN, Wako, Saitama, Japan	2001-06-05
45367T	Clostridium hylemonae		Y.Benno, JCM, RIKEN, Wako, Saitama, Japan	2001-06-05
45368T	Coprobacillus cateniformis	Human feces	Y.Benno, JCM, RIKEN, Wako, Saitama, Japan	2001-06-05
45369T	Janibacter terrae		Y.Benno, JCM, RIKEN, Wako, Saitama, Japan	2001-06-05
45370T	Companilactobacillus kimchii	Fermented vegetable (Kimchi)	Y.Benno, JCM, RIKEN, Wako, Saitama, Japan	2001-06-05
45247 #T	Dorea longicatena	Human feces, healthy German individual	D.Taras, Bergholz-Rehbrücke, Germany	2001-05-07
45246T	Corynebacterium variabile	Food	P.Riegel, Univ.Louis Pasteur, Strasbourg, France	2001-05-04
45295T	Collinsella stercoris	Human feces	Y.Benno, JCM, RIKEN, Wako, Saitama, Japan	2001-05-01
45296T	Collinsella intestinalis	Human feces	Y.Benno, JCM, RIKEN, Wako, Saitama, Japan	2001-05-01
45371T	Olsenella profusa	Subgingival plaque in adult with periodontitis	J.Downes, Guys Hospital, London, UK	2001-05-01
45213T	Bifidobacterium adolescentis		C.Bizet, CIP, Institut Pasteur, Paris, France	2001-04-30
45217T	Bifidobacterium bifidum	Human, child feces	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-04-30
45225T	Advenella incenata	Human sputum, 69-yr-old woman	Transpl. & Sputum Dept., PHLS, Götborg, Sweden	2001-04-30
45212T	Allobaculum stercoricanis	Dog feces, male Labrador	H.Greetham & M.D.Collins, Reading, UK	2001-04-27
45161T	Campylobacter hominis	Human feces	S.L.W.On, Copenhagen, Denmark	2001-04-09
45153T	Afipia massiliensis	Water supply	B.La Scola, La Timone, Marseille, France	2001-04-05
45055T	Anaerotruncus colihominis	Human feces from autistic child	P.A.Lawson, Reading, UK	2001-03-19
45016T	Azospira oryzae	Kallar grass, surface-sterilized roots	D.Janssens, LMG, Gent, Belgium	2001-03-09
45017 #T	Azospirillum amazonense		D.Janssens, LMG, Gent, Belgium	2001-03-09
45018 #T	Azospirillum halopraeferens		D.Janssens, LMG, Gent, Belgium	2001-03-09
45019T	Brevundimonas alba	Soil	D.Janssens, LMG, Gent, Belgium	2001-03-09
45020T	Brevundimonas aurantiaca	Contaminated Chlorella culture	D.Janssens, LMG, Gent, Belgium	2001-03-09
45021T	Brevundimonas bacteroides	Water, freshwater lake	D.Janssens, LMG, Gent, Belgium	2001-03-09
45022T	Brevundimonas intermedia	Pond water	D.Janssens, LMG, Gent, Belgium	2001-03-09
45025T	Enterococcus villorum	Pig intestine, gut of a piglet	D.Janssens, LMG, Gent, Belgium	2001-03-09
45026T	Pandoraea sputorum	Human sputum, cystic fibrosis	D.Janssens, LMG, Gent, Belgium	2001-03-09
45027T	Ralstonia mannitolilytica		D.Janssens, LMG, Gent, Belgium	2001-03-09
45028T	Sphingomonas alaskensis	Seawater	D.Janssens, LMG, Gent, Belgium	2001-03-09
44997T	Schaalia cardiffensis	Human intrauterine contraceptive device, 35-yr-old	M.D.Collins, Univ. of Reading, Reading, UK	2001-03-06
44998T	Varibaculum cambriense	Human postauricular abscess, 27-yr-old male	M.D.Collins, Univ. of Reading, Reading, UK	2001-03-06
44979T	Bacteroides cellulosilyticus	Human feces, 50-yr-old male, healthy volunteer	M.D.Collins, Univ. of Reading, Reading, UK	2001-03-02
44952 AT	Pseudoalteromonas tunicata	Water surface, adult tunicate, Ciona intestinalis	C.Holmström, UNSW, Sydney, Australia	2001-02-22
44923T	Legionella worsleiensis	Cooling tower return flow	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-02-20
44924T	Legionella waltersii	Drinking water distribution system	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-02-20
44928T	Enterococcus asini	Cecum of donkey	DSMZ, Braunschweig, Germany	2001-02-20
44929T	Aeromonas salmonicida subsp. pectinolytica	Water	DSMZ, Braunschweig, Germany	2001-02-20
44932T	Bifidobacterium boum	Bovine rumen	DSMZ, Braunschweig, Germany	2001-02-20
44933T	Selenomonas sputigena	Subgingival sulcus	DSMZ, Braunschweig, Germany	2001-02-20
44910T	Exiguobacterium aurantiacum	Alkaline effluent from potato washing	M.D.Collins, Univ. of Reading, Reading, UK	2001-02-16
44893T	Legionella geestiana	Domestic hot water	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-02-15
44894T	Legionella gratiana	Thermal spa water	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-02-15
44895T	Legionella londiniensis	Cooling tower, office building	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-02-15
44899T	Legionella quateirensis	Shower in hotel bathroom	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-02-15
44900T	Legionella nautarum	Hot water tap	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-02-15
44901T	Legionella taurinensis	Environmental	C.Bizet, CIP, Institut Pasteur, Paris, France	2001-02-15
44773T	Anaeroglobus geminatus	Human wound, post-operative, 70-yr-old woman	C.Bizet, CIP, Institut Pasteur, Paris, France	2000-12-27
44697T	Arcanobacterium hippocoleae	Horse vaginal discharge, 3 year old Arab cross h.	M.D.Collins, Univ. of Reading, Reading, UK	2000-11-27
44693T	Rhodovarius lipocyclicus	Industrial hygiene control, Rodac medium	Anonymous	2000-11-24
44615T	Helicobacter nemestrinae	Gastric mucosa of pigtailed macaque	C.Bizet, CIP, Institut Pasteur, Paris, France	2000-11-03
44616T	Streptococcus entericus	Cow intestine, cow enteritis	F.Uruburu, CECT, Burjasot (Valencia), Spain	2000-11-03
44595 #T	Pseudomonas balearica	Sewage water, enrichment with 2-methylnaphthalene	J.Lalucat/R.Rosselló-Mora, Palma de Mallorca, E	2000-10-31
44586T	Centipeda periodontii	Human periodontal lesions	C.Bizet, CIP, Institut Pasteur, Paris, France	2000-10-26
44587 #T	Dellaglioa algida	Vacuum-packaged refrigerated beef	C.Bizet, CIP, Institut Pasteur, Paris, France	2000-10-26
44588T	Slackia exigua	Human necrotic pulp of tooth	C.Bizet, CIP, Institut Pasteur, Paris, France	2000-10-26
44589T	Kineococcus aurantiacus	Soil	C.Bizet, CIP, Institut Pasteur, Paris, France	2000-10-26
44556T	Clostridium colicanis	Canine, feces of a male Labrador	H.Greetham & M.D.Collins, Reading, UK	2000-10-19
44526T	Cupriavidus campinensis	Zinc desert	J.Goris, LMG, Gent, Belgium	2000-10-12
44527T	Burkholderia terricola	Agricultural soil	J.Goris, LMG, Gent, Belgium	2000-10-12
44566T	Corynebacterium caspium	Caspian seal, penis	L.Hoyles/M.D.Collins, Reading, UK	2000-10-12
44360T	Bartonella birtlesii	Apodemus sp.	C.Bizet, CIP, Institut Pasteur, Paris, France	2000-10-09
44487T	Pseudomonas balearica	Sewage water, enrichment with 2-methylnaphtalene	C.Bizet, CIP, Institut Pasteur, Paris, France	2000-10-09
44488T	Dietzia maris	Soil	C.Bizet, CIP, Institut Pasteur, Paris, France	2000-10-09
44496T	Pseudoalteromonas elyakovii	Far-East mussel, Crenomytilus grayanus	E.Ivanova, Hokodate, Japan	2000-10-09
44467T	Campylobacter lanienae	Human, asymptomatic worker in an abattoir	A.Burnens, VBI, Berne, Switzerland	2000-10-07
44605 #T	Arthrobacter luteolus	Human surgical wound	G.Wauters, UCL, Brussels, Belgium	2000-10-01
44425T	Comamonas denitrificans	Sludge, activated	G.Dahlhammar, KTH, Stockholm, Sweden	2000-09-21
44365T	Globicatella sulfidifaciens	Cattle lung	P.Vandamme, LMG, Gent, Belgium	2000-09-11
44356T	Burkholderia ambifaria	Pea rhizosphere	D.Janssens, LMG, Gent, Belgium	2000-09-04
44338T	Cupriavidus taiwanensis	Root nodule of Mimosa pudica	C.Vereecke, LMG	2000-08-28
43885T	Legionella drozanskii	Water ? amoebal enrichment	R.F.Benson, CDC, Atlanta, USA	2000-08-09
43886T	Legionella fallonii		R.F.Benson, CDC, Atlanta, USA	2000-08-09
43887T	Legionella rowbothamii		R.F.Benson, CDC, Atlanta, USA	2000-08-09
43843T	Actinobacillus succinogenes	Cattle rumen	C.Bizet, CIP, Institut Pasteur, Paris, France	2000-07-21
43834T	Mammaliicoccus fleurettii	Cheese made from raw goat's milk	C.Bizet, CIP, Institut Pasteur, Paris, France	2000-07-19
43820T	Streptococcus infantarius subsp. infantarius	Human feces, infant	P.Green, NCIMB, Aberdeen, Scotland, U.K.	2000-07-17
43811T	Arthrobacter luteolus	Human surgical wound	N.Weiss, DSMZ, Braunschweig, Germany	2000-07-12
43812T	Pseudoglutamicibacter albus	Human blood, isolated in several blood cultures	N.Weiss, DSMZ, Braunschweig, Germany	2000-07-12
43803T	Streptococcus pluranimalium	Cow, mastitis	D.Janssens, LMG, Gent, Belgium	2000-07-07
43658T	Burkholderia hospita	Soil (B-horizon)	J.Goris, LMG, Gent, Belgium	2000-05-25
43663T	Burkholderia kururiensis	Aquifer, trichloroethylene polluted site	J.Goris, LMG, Gent, Belgium	2000-05-25
43639T	Nicoletella semolina	Equine nasal discharge, adult horse, chronic cough	P.Kuhnert, University of Berne, Berne, Switzerland	2000-05-24
43571T	Staphylococcus succinus	Plant and soil inclusions within amber	J.Tang, ATCC, Manassas, USA	2000-05-09
43573T	Haemophilus paracuniculus	Rabbit	J.Tang, ATCC, Manassas, USA	2000-05-09
43574T	Mycobacterium septicum	Catheter tip of centrally located Hickman catheter	J.Tang, ATCC, Manassas, USA	2000-05-09
43575T	Liquorilactobacillus nagelii	Commercial red wine	J.Tang, ATCC, Manassas, USA	2000-05-09
43576T	Vibrio aerogenes	Seagrass bed sediment	J.Tang, ATCC, Manassas, USA	2000-05-09
43577T	Streptococcus orisratti	Rat, tooth surface of laboratory rat	J.Tang, ATCC, Manassas, USA	2000-05-09
43519T	Pseudomonas veronii	Natural mineral water	C.Bizet, CIP, Institut Pasteur, Paris, France	2000-04-13
43506T	Hungatella hathewayi	Human feces, male, omnivore chemostat enrichment	P.A.Lawson, FST, Reading, UK	2000-04-10
43489T	Peribacillus frigoritolerans	Soil	C.Bizet, CIP, Institut Pasteur, Paris, France	2000-04-07
43497T	Corynebacterium stationis	Film of marine fouling organisms	C.Bizet, CIP, Institut Pasteur, Paris, France	2000-04-07
43504T	Pasteurella multocida subsp. multocida	Porcine	C.Bizet, CIP, Institut Pasteur, Paris, France	2000-04-07
43455T	Brevibacterium avium	Poultry, bumble-foot lesion	H.S.Gray, NCIMB, Aberdeen, Scotland, UK	2000-04-03
43457T	Dysgonomonas mossii	Human abdominal drainage, 68-yr-old female	R.S.Weyant, CDC, Atlanta, GA, USA	2000-04-03
43448T	Bordetella petrii	River sediment derived anaerobic bioreactor	F. von Winzingerode, Berlin, Germany	2000-03-30
43427 AT	Massilia oculi	Human eye, endophthalmitis	Wristad, PHLS, Linköping, Sweden	2000-03-23
43347T	Lactobacillus selangorensis	Chili bo	D.Janssens, LMG, Gent, Belgium	2000-03-06
43349T	Companilactobacillus paralimentarius	Sourdough	D.Janssens, LMG, Gent, Belgium	2000-03-06
43303T	Pseudoclavibacter helvolus	Butter	DSMZ, Braunschweig, Germany	2000-02-21
43304T	Luethyella okanaganae	Insect infection, endemic of Okagana rimosa	H.S.Grey, NCIMB, Aberdeen, Scotland, UK	2000-02-21
43305T	Corynebacterium simulans	Human biopsy of axillar lymph node	G.Wauters, UCL, Brussels, Belgium	2000-02-21
43279T	Microbacterium aurum	Corn steep liquor	Z.Pácová, CCM, Brno, Czech Republic	2000-02-15
43283T	Pectinatus frisingensis	Turbid beer	Z.Pácová, CCM, Brno, Czech Republic	2000-02-15
43288T	Salinicoccus hispanicus	Solar saltern	Z.Pácová, CCM, Brno, Czech Republic	2000-02-15
43291T	Salinicoccus roseus	Solar saltern	Z.Pácová, CCM, Brno, Czech Republic	2000-02-15
43228T	Enterococcus ratti	Neonatel rat diarrhea	R.R.Facklam, CDC, Atlanta, USA	2000-02-01
43229T	Enterococcus porcinus	Piglet, 2-4 days old	R.R.Facklam, CDC, Atlanta, USA	2000-02-01
43190T	Pseudomonas libanensis	Spring water	C.Bizet, CIP, Institut Pasteur, Paris, France	2000-01-24
43191T	Pseudomonas gingeri	Cultivated mushroom (Agaricus bisporus)	D.Janssens, LMG, Gent, Belgium	2000-01-24
43179T	Limosilactobacillus mucosae	Pig small intestine, newly slaughtered	S.Roos, SLU, Swedish Univ.Agr.Sci., Uppsala, Sweden	2000-01-20
43164T	Pseudomonas gessardii	Mineral waters	C.Bizet, CIP, Institut Pasteur, Paris, France	2000-01-14
43165T	Pseudomonas migulae	Mineral waters	C.Bizet, CIP, Institut Pasteur, Paris, France	2000-01-14
43135T	Subtercola boreus	Groundwater of a shallow aquifer (18m depth)	M.K.Männistö, Tampere, Finland	2000-01-10
43136T	Subtercola frigoramans	Groundwater of a shallow aquifer (18m depth)	M.K.Männistö, Tampere, Finland	2000-01-10
43137T	Paenibacillus borealis	Spruce humus	Seija Elo, Helsinki, Finland	2000-01-10
43140T	Janthinobacterium agaricidamnosum	Diseased Agaricoccus bisporus tissue	R.Kroppenstedt, DSMZ, Braunschweig, Germany	2000-01-10
43141T	Beutenbergia cavernae	Cave, soil between rocks	R.Kroppenstedt, DSMZ, Braunschweig, Germany	2000-01-10
43142T	Ornithinicoccus hortensis	Garden soil	R.Kroppenstedt, DSMZ, Braunschweig, Germany	2000-01-10
43143T	Microlunatus capsulatus	Activated sludge	R.Kroppenstedt, DSMZ, Braunschweig, Germany	2000-01-10
43144T	Amycolatopsis mediterranei	Soil	R.Kroppenstedt, DSMZ, Braunschweig, Germany	2000-01-10
43108T	Afipia birgiae	Water supply of La Timone Hospital Centre	B.La Scola, Marseille, France	1999-12-27
43111T	Bosea eneae	Water, hospital water supply	B.La Scola, Marseille, France	1999-12-27
43117T	Bosea massiliensis	Water, hospital water supply	B.La Scola, Marseille, France	1999-12-27
43096T	Actinobacillus pleuropneumoniae	Porcin lung	Ö.Angen, Kgl.Vet.Inst., Copenhagen, Denmark	1999-12-21
43067T	Bisgaardia hudsonensis	Ringed seal, dead (Phoca hispida)	G.Foster, SAC, Inverness, Scotland, UK	1999-12-09
43036T	Aerosphaera taetra	Spoiled industrial paint	Anonymous, Sweden	1999-12-02
43001T	Aerococcus sanguinicola	Human blood	R.R.Facklam, CDC, Atlanta, USA	1999-11-23
42953T	Falsarthrobacter nasiphocae	Common seal nose, Phoca vitulina, rehabilitation	M.D.Collins, Univ. of Reading, Reading, UK	1999-11-15
42894T	Lacticaseibacillus manihotivorans	Cassava	D.Janssens, LMG, Gent, Belgium	1999-11-02
42882T	Dysgonomonas gadei	Human gall bladder, 68-yr-old man	T.Hofstad, Bergen, Norway	1999-10-28
42847T	Burkholderia caribensis	Vertisol	T.Coenye/P.Vandamme/D.Janssens, LMG, Gent, Belgium	1999-10-20
42781T	Aeromonas salmonicida subsp. achromogenes	Trout (Salmo trutta)	C.Bizet, CIP, Institut Pasteur, Paris, France	1999-10-04
42773T	Schaalia funkei	Human blood, endocarditis, clinically documented	Jalakas/Vincent, PHLS, Huddinge, Sweden	1999-09-29
42722T	Jeotgalicoccus pinnipedialis	Seal mouth, female southern elephant seal	M.D.Collins, Univ. of Reading, Reading, UK	1999-09-20
42726T	Gemella cuniculi	Rabbit sub-mandibular abscess	M.D.Collins, Univ. of Reading, Reading, UK	1999-09-20
42728T	Facklamia miroungae	Seal, mouth of a juvenile elephant seal	M.D.Collins, Univ. of Reading, Reading, UK	1999-09-20
42692T	Streptococcus gallinaceus	Chicken sepsis, broiler parents, flock size 40.000	M.Bisgaard, Copenhagen, Denmark	1999-09-13
42575T	Arcanobacterium pluranimalium	Dead harbour porpoise	P.A.Lawson, Reading, UK	1999-08-19
42559T	Mycobacterium lentiflavum	Human spondylodiscitis	R.Kroppenstedt, DSMZ, Braunschweig, Germany	1999-08-17
42422T	Mycobacterium lentiflavum	Human biopsy from vertebrae, spondylodiscitis	M.B.Coyle & LaD.Carlsson, Seattle, WA, USA	1999-06-29
42427T	Mycobacterium simiae	Indian monkey, Macaca mulatta	M.B.Coyle & LaD.Carlsson, Seattle, WA, USA	1999-06-29
42429T	Mycobacterium terrae	Human sputum and gastic lavage	M.B.Coyle & LaD.Carlsson, Seattle, WA, USA	1999-06-29
42430T	Mycobacterium tokaiense		M.B.Coyle & LaD.Carlsson, Seattle, WA, USA	1999-06-29
42431T	Mycobacterium triviale	Human sputum	M.B.Coyle & LaD.Carlsson, Seattle, WA, USA	1999-06-29
42399T	Staphylococcus hominis subsp. novobiosepticus	Human blood	C.Bizet, CIP, Institut Pasteur, Paris, France	1999-06-21
42378T	Lactobacillus psittaci	Parrot air sac, Anodorhynchus hyacinthinus	I.Hansson, SVA, Uppsala, Sweden	1999-06-16
42358T	Atopobacter phocae	Seal, common seal pup, lung, small intestine, etc.	P.Lawson, Reading, UK	1999-06-14
42229T	Sutterella wadsworthensis	Human abdominal fluid	C.Bizet, CIP, Institut Pasteur, Paris, France	1999-05-11
42231T	Burkholderia graminis	Maize senescent root system	T.Coenye and P.Vandamme, LMG, Gent, Belgium	1999-05-11
42236T	Burkholderia caledonica	Soil rhizosphere	T.Coenye and P.Vandamme, LMG, Gent, Belgium	1999-05-11
42182 CT	Clostridium acetobutylicum		D.Janssens, LMG, Gent, Belgium	1999-04-29
42162T	Fusobacterium necrophorum subsp. funduliforme	Bovine liver abscess	C.Bizet, CIP, Institut Pasteur, Paris, France	1999-04-27
44007T	Limosilactobacillus coleohominis	Human vagina, fornix, healthy 31-yr-old subject	N.Nikolaitchouk/B.Andersch, GU, Göteborg, Sweden	1999-04-19
42058T	Pseudomonas mandelii	Mineral water	C.Bizet, CIP, Institut Pasteur, Paris, France	1999-03-31
42059T	Pseudomonas jessenii		C.Bizet, CIP, Institut Pasteur, Paris, France	1999-03-31
42060T	Salmonella enterica subsp. enterica		C.Bizet, CIP, Institut Pasteur, Paris, France	1999-03-31
42038 BT	Aerococcus urinaehominis	Human urine, 84-yr-old woman	Y.Wyon, PHLS, Linköping, Sweden	1999-03-29
42000T	Anaerococcus prevotii	Human plasma	C.Bizet, CIP, Institut Pasteur, Paris, France	1999-03-23
42001T	Sporolactobacillus kofuensis	Soil	C.Bizet, CIP, Institut Pasteur, Paris, France	1999-03-23
41967T	Weissella cibaria	Chili Bo	D.Janssens, LMG, Gent, Belgium	1999-03-17
41932T	Anaerococcus prevotii	Human plasma	B.Holmes, NCTC, London, UK	1999-03-15
41934T	Porphyromonas circumdentaria	Cat abscess, subcutaneous	B.Holmes, NCTC, London, UK	1999-03-15
41875T	Azoarcus indigens	Kallar grass (Leptochloa fusca), surface stem bases	D.Janssens, LMG, Gent, Belgium	1999-03-05
41876 #T	Burkholderia andropogonis		D.Janssens, LMG, Gent, Belgium	1999-03-05
41877T	Burkholderia pyrrocinia	Soil	D.Janssens, LMG, Gent, Belgium	1999-03-05
41880T	Tetragenococcus muriaticus		D.Janssens, LMG, Gent, Belgium	1999-03-05
41859T	Aeromonas bestiarum	Fish	C.Bizet, CIP, Institut Pasteur, Paris, France	1999-03-03
41823T	Corynebacterium testudinoris	Tortoise, necrotic lesions in mouth	M.D.Collins, IFR, Reading, UK	1999-02-26
41755T	Vagococcus fessus	Seal liver and kidney (species not known)	M.D.Collins, IFR, Reading, UK	1999-02-10
41706T	Schaalia canis	Dog vagina, history of infertility, polymicrobial	M.D.Collins, IFR, Reading, UK	1999-02-02
41708T	Gleimia coleocanis	Dog vagina, Cocker Spaniel	M.D.Collins, IFR, Reading, UK	1999-02-02
41709T	Actinomyces catuli	Dog - no other information available	M.D.Collins, IFR, Reading, UK	1999-02-02
41710T	Boudabousia marimammalium	Hooded seal, lung, spleen, kidney, mesenteric lymph n.	M.D.Collins, IFR, Reading, UK	1999-02-02
41656T	Actinobacillus pleuropneumoniae	Porcine lung	C.Bizet, CIP, Institut Pasteur, Paris, France	1999-01-21
41658T	Sporolactobacillus terrae	Soil	C.Bizet, CIP, Institut Pasteur, Paris, France	1999-01-21
41659 #T	Sporolactobacillus nakayamae subsp. racemicus	Soil	C.Bizet, CIP, Institut Pasteur, Paris, France	1999-01-21
